id,prec,year,unc_m,hab,hab_why,hab_frac,era,age_new,est_year,cut,forest_frac
6414021712,tarkka,2026,3,ennallaan,tuore_havainto,0.78,2023,43,1980,0,0.78
6414156333,tarkka,2026,100,ulkopuolella,ei_metsatalousmaata,0.56,2023,63,1960,0,0.44
6417546460,tarkka,2026,1,ennallaan,tuore_havainto,1.0,2023,61,1962,0,1.0
6417598380,tarkka,2026,1,ulkopuolella,ei_metsatalousmaata,0.67,2023,11,2012,0,0.33
6422112781,tarkka,2026,3,ennallaan,tuore_havainto,1.0,2023,53,1970,0,1.0
6439314426,tarkka,2026,1,ennallaan,tuore_havainto,1.0,2023,82,1941,0,1.0
6439315310,summittainen,2026,1000,ennallaan,tuore_havainto,0.78,2023,72,1951,1,0.89
6431002604,tarkka,2026,4,ennallaan,tuore_havainto,1.0,2023,72,1951,0,1.0
6431067340,summittainen,2026,265,epavarma,osa_alueesta_hakattu,0.11,2023,50,1973,2,0.89
6431149093,tarkka,2026,2,ennallaan,tuore_havainto,1.0,2023,74,1949,0,1.0
6431230936,alueellinen,2026,24790,ei_tietoa,liian_epatarkka,,,,,,
6431310654,tarkka,2026,7,ennallaan,tuore_havainto,0.89,2023,50,1973,0,0.89
6431604716,tarkka,2026,6,ennallaan,tuore_havainto,1.0,2023,79,1944,0,1.0
6431713428,alueellinen,2026,24790,ei_tietoa,liian_epatarkka,,,,,,
6432544351,summittainen,2026,1000,ennallaan,tuore_havainto,0.67,2023,61,1962,0,0.67
6439314497,tarkka,2026,1,ennallaan,tuore_havainto,1.0,2023,69,1954,0,1.0
6439315526,tarkka,2026,1,ennallaan,tuore_havainto,1.0,2023,50,1973,0,1.0
6441017947,summittainen,2026,520,epavarma,osa_alueesta_hakattu,0.11,2023,34,1989,2,0.78
6441032562,tarkka,2026,9,ennallaan,tuore_havainto,0.67,2023,66,1957,0,0.67
6441070842,tarkka,2026,4,ulkopuolella,ei_metsatalousmaata,0.56,2023,72,1951,0,0.44
6441074733,tuntematon,2026,,ei_tietoa,liian_epatarkka,,,,,,
6441083905,alueellinen,2026,24790,ei_tietoa,liian_epatarkka,,,,,,
6441123467,tarkka,2026,43,ennallaan,tuore_havainto,1.0,2023,41,1982,0,1.0
6441143143,tuntematon,2026,,ei_tietoa,liian_epatarkka,,,,,,
6441156768,alueellinen,2026,24819,ei_tietoa,liian_epatarkka,,,,,,
6441259936,tarkka,2026,8,ennallaan,tuore_havainto,1.0,2023,44,1979,0,1.0
6441430862,tarkka,2026,6,ennallaan,tuore_havainto,0.89,2023,54,1969,0,0.89
6441558842,tuntematon,2026,,ei_tietoa,liian_epatarkka,,,,,,
6441566453,tarkka,2026,1,ulkopuolella,ei_metsatalousmaata,0.56,2023,30,1993,0,0.44
6441697963,tarkka,2026,106,ulkopuolella,ei_metsatalousmaata,0.89,2023,13,2010,0,0.11
6441710013,tuntematon,2026,,ei_tietoa,liian_epatarkka,,,,,,
6441714687,alueellinen,2026,24760,ei_tietoa,liian_epatarkka,,,,,,
