source,id,date,year,month,day,lat,lon,unc_m,basis,dataset,dataset_key,license,locality,remarks,event_remarks,habitat
gbif,6414021712,2026-06-20,2026,6,20,61.405983,26.918792,3.0,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,,Polulla.,,
gbif,6414156333,2026-06-25,2026,6,25,61.322899,28.568142,100.0,HUMAN_OBSERVATION,National Butterfly Recording Scheme in Finland (NAFI),181eab51-9399-4baa-a0df-8de01a3acf19,http://creativecommons.org/licenses/by/4.0/legalcode,Arthovi 6802:3584,,"Mökkipiha Täysin pilvisestä aurinkoiseen. Lämpötila  +18,3 (14:02) ... yli +19 ...taas  +18,3 (19:58)",
gbif,6417546460,2026-06-24,2026,6,24,60.602145,27.111718,1.0,HUMAN_OBSERVATION,"Notebook, general observations",df12ca07-f133-4550-ab3b-fde13f0e76ba,http://creativecommons.org/licenses/by/4.0/legalcode,"Reitkalli, Suurivuori",Keywords: { Cantharellus cibarius },"Vehkalahden Muinaisreitit -hanke Metsäpolku Pilvinen, + 16 C",
gbif,6417598380,2026-06-22,2026,6,22,60.550722,27.229001,1.0,HUMAN_OBSERVATION,"Notebook, general observations",df12ca07-f133-4550-ab3b-fde13f0e76ba,http://creativecommons.org/licenses/by/4.0/legalcode,"Lupinlahti, Lauttasalmi",Keywords: { Cantharellus cibarius },"Vehkalahden Muinaisreitit -hanke Rantalepikko Aurinkoinen, + 24,5 C",
gbif,6422112781,2026-06-27,2026,6,27,60.411797,27.416545,3.0,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,,,,
gbif,6439314426,2026-06-25,2026,6,25,60.428522,22.369649,1.0,MACHINE_OBSERVATION,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode,Kaarinan/Lausteen perintömetsä,,,
gbif,6439315310,2026-06-23,2026,6,23,60.371081,25.754261,1000.0,MACHINE_OBSERVATION,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode,"Porvoo, Stormossenn","TT2026-71 Kanttarelllit olivat vielä pieniä 23.6.2026, ei itiölaskeumaa eikä näytettä","Kosteita kuusisekametsiä, ojanvarsia, rämettä.",
gbif,6431002604,2026-07-04,2026,7,4,60.19643,24.910222,4.0,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,,,,
gbif,6431067340,2026-07-04,2026,7,4,62.526322,21.115573,265.0,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,,,,
gbif,6431149093,2026-07-06,2026,7,6,60.216178,24.8862,2.0,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,,"Kaupunkimetsässä koivuisassa sammalikossa. Jätin metsään, vähän turhan liikennöity alue...",,
gbif,6431230936,2026-07-03,2026,7,3,60.52104,27.123885,24790.0,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,,,,
gbif,6431310654,2026-07-02,2026,7,2,60.154964,25.013011,7.0,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,,,,
gbif,6431604716,2026-07-02,2026,7,2,60.199108,25.110548,6.0,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,,,,
gbif,6431713428,2026-07-05,2026,7,5,60.513264,21.845631,24790.0,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/publicdomain/zero/1.0/legalcode,,,,
gbif,6432544351,2026-07-01,2026,7,1,62.580933,29.819884,1000.0,HUMAN_OBSERVATION,"Notebook, general observations",df12ca07-f133-4550-ab3b-fde13f0e76ba,http://creativecommons.org/licenses/by/4.0/legalcode,,,Kuusimetsä,
gbif,6439314497,2026-07-04,2026,7,4,60.252715,24.540452,1.0,MACHINE_OBSERVATION,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode,Kiimassuo,,"Kiimassuon eteläinen metsätie, 900 m Siikajärventieltä itään, Kiimasuon ja Tervasuon välissä",
gbif,6439315526,2026-07-03,2026,7,3,60.184904,24.930325,1.0,MACHINE_OBSERVATION,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode,Olympiastadion,,,
gbif,6441017947,2026-07-09,2026,7,9,60.74499,27.921856,520.0,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,,,,
gbif,6441032562,2026-07-09,2026,7,9,61.58852,23.9173,9.0,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,,,,
gbif,6441070842,2026-07-08,2026,7,8,60.241603,25.209545,4.0,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/publicdomain/zero/1.0/legalcode,,,,
gbif,6441074733,2026-07-10,2026,7,10,60.982319,24.804823,,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,,,,
gbif,6441083905,2026-07-07,2026,7,7,60.450316,22.514052,24790.0,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,,Vuoden eka löytö. Täällä ei ole näkynyt lajia aiempina vuosina.,,
gbif,6441123467,2026-07-13,2026,7,13,60.421851,25.074693,43.0,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,,,,
gbif,6441143143,2026-07-08,2026,7,8,60.221818,24.9928,,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,,,,
gbif,6441156768,2026-07-10,2026,7,10,60.215045,25.519702,24819.0,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,,,,
gbif,6441259936,2026-07-13,2026,7,13,61.331757,26.292959,8.0,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,,,,
gbif,6441430862,2026-07-08,2026,7,8,60.203509,25.167895,6.0,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,,,,
gbif,6441558842,2026-07-06,2026,7,6,63.489933,22.370189,,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,,,,
gbif,6441566453,2026-07-12,2026,7,12,60.430654,25.023845,1.0,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,,,,
gbif,6441697963,2026-07-08,2026,7,8,60.201262,25.14854,106.0,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,,,,
gbif,6441710013,2026-07-13,2026,7,13,60.590462,22.877276,,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,,,,
gbif,6441714687,2026-07-10,2026,7,10,60.653326,22.293819,24760.0,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,,,,
gbif,6441719774,2026-07-09,2026,7,9,62.325223,27.991423,2.0,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,,,,
gbif,6441828113,2026-07-11,2026,7,11,60.204379,25.057328,,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,,,,
gbif,6441856114,2026-07-08,2026,7,8,60.29677,25.891331,12.0,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,,,,
gbif,6441879918,2026-07-07,2026,7,7,61.668587,25.111011,4.0,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,,,,
gbif,6442107721,2026-07-07,2026,7,7,62.749247,22.20725,4.0,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,,,,
gbif,6445260362,2026-07-08,2026,7,8,61.135848,21.362984,1.0,HUMAN_OBSERVATION,"Notebook, general observations",df12ca07-f133-4550-ab3b-fde13f0e76ba,http://creativecommons.org/licenses/by/4.0/legalcode,Kuuskajaskari,Pieniä,,
gbif,6445268443,2026-07-07,2026,7,7,61.223999,21.709182,1.0,HUMAN_OBSERVATION,"Notebook, general observations",df12ca07-f133-4550-ab3b-fde13f0e76ba,http://creativecommons.org/licenses/by/4.0/legalcode,Eurajoki.,N. 15 itiöemää.,"Havumetsä. Pilvistä. Lopussa osittain ohutta. Tuuli heikkoa. Lämpötila, + 13",
gbif,6445274388,2026-07-05,2026,7,5,61.820171,29.645984,5000.0,HUMAN_OBSERVATION,"Notebook, general observations",df12ca07-f133-4550-ab3b-fde13f0e76ba,http://creativecommons.org/licenses/by/4.0/legalcode,,,,
gbif,6445298450,2026-07-04,2026,7,4,61.825558,29.633623,5000.0,MACHINE_OBSERVATION,"Notebook, general observations",df12ca07-f133-4550-ab3b-fde13f0e76ba,http://creativecommons.org/licenses/by/4.0/legalcode,,,,
gbif,6445301444,2026-07-15,2026,7,15,62.588554,29.811968,1000.0,HUMAN_OBSERVATION,"Notebook, general observations",df12ca07-f133-4550-ab3b-fde13f0e76ba,http://creativecommons.org/licenses/by/4.0/legalcode,,,,
gbif,6448014894,2026-07-24,2026,7,24,61.780594,29.547354,5.0,HUMAN_OBSERVATION,,8a863029-f435-446a-821e-275f4f641165,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Etelä-Savo,,,unknown
gbif,6448420631,2026-07-08,2026,7,8,61.225863,25.145608,14.0,HUMAN_OBSERVATION,,8a863029-f435-446a-821e-275f4f641165,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Evon alue - N2000,,,unknown
gbif,6450584352,2026-07-26,2026,7,26,61.618867,29.474582,1000.0,HUMAN_OBSERVATION,"Notebook, general observations",df12ca07-f133-4550-ab3b-fde13f0e76ba,http://creativecommons.org/licenses/by/4.0/legalcode,,,,
gbif,6450645452,2026-07-21,2026,7,21,62.85298,29.980425,1000.0,HUMAN_OBSERVATION,"Notebook, general observations",df12ca07-f133-4550-ab3b-fde13f0e76ba,http://creativecommons.org/licenses/by/4.0/legalcode,Kolvananuuro,,,
gbif,6450652445,2026-07-19,2026,7,19,60.859635,21.4653,1.0,MACHINE_OBSERVATION,"Notebook, general observations",df12ca07-f133-4550-ab3b-fde13f0e76ba,http://creativecommons.org/licenses/by/4.0/legalcode,Hakoistenmetsä,Keywords: { kantarelli | Uusikaupunki },Kangasmetsä,
gbif,6450795421,2026-07-19,2026,7,19,60.96233,25.882504,1.0,MACHINE_OBSERVATION,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode,Alvojärvi,,,
gbif,6450795481,2026-07-12,2026,7,12,60.202036,24.822702,1000.0,MACHINE_OBSERVATION,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode,Laajalahden ls-alue,,,
gbif,6450795609,2026-07-12,2026,7,12,63.156764,21.291289,1.0,MACHINE_OBSERVATION,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode,,,,
gbif,6450795678,2026-07-07,2026,7,7,60.277185,25.789978,100.0,MACHINE_OBSERVATION,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode,Sondby - Sandmalmen,Melko yleinen alueella,Pääosin mäntykangasta,
gbif,6450796346,2026-07-05,2026,7,5,63.035936,21.594436,1.0,HUMAN_OBSERVATION,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode,,,,
gbif,6450796428,2026-07-01,2026,7,1,61.658941,23.47276,1.0,MACHINE_OBSERVATION,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode,"Lavajärvi, haavikko",,,
