group,weight,id,lat,lon,x,y,row,col,year,cycle,unc_m,ika,manty,kuusi,koivu,tilavuus,ppa,latvuspeitto,keskipituus,keskilapimitta,pine_share,spruce_share,decid_share,stems_ha,site_1,site_2,site_3,site_4,site_5,site_6,site_7,site_8,site_missing,main_1,main_2,main_3,main_4,ika_m3,manty_m3,kuusi_m3,latvuspeitto_m3,ppa_m3,ika_m9,manty_m9,kuusi_m9,latvuspeitto_m9,ppa_m9,dry_site_frac9,pine_max9,spruce_min9,elev,slope,northness,eastness,tpi7,tpi31,relief7,soil_coarse,soil_till,soil_fine,soil_rock,soil_peat,soil_other,soil_none,coarse_frac9,coarse_frac31,glac_glaciofluvial,glac_littoral,glac_moraine,glac_other,glac_none,glacfl_frac31,thermal_sum,precip
presence,1.0,6498547472,62.720135,28.997909,602154.7647397298,6955991.306223723,51394,34032,2026,2023,84.0,42,64,2,1,67,11,43,121,14,0.94118,0.029412,0.014706,714.57,0,0,0,1,0,0,0,0,0,1,0,0,0,24.778,50.889,9.3333,33.111,8.4444,31.346,50.877,21.963,46.42,11.84,0.34568,167,0,120,4.9528,-0.90152,0.43273,-1.2,1.8678,8.1,1,0,0,0,0,0,0,0.69136,0.564,1,0,0,0,0,0.41935,1227.7,665.57
presence,1.0,6534665505,65.514512,29.343227,608349.0635301425,7267814.603629387,31905,34419,2026,2023,10.0,69,69,1,0,70,12,45,133,16,0.97183,0.014085,0,596.83,0,0,1,0,0,0,0,0,0,1,0,0,0,93.667,93.778,4.6667,47.556,14.111,95.988,99.432,9.0247,51.025,15.988,0.48148,159,0,241.8,0.35812,-1,8.7423e-08,1.151,1.5114,10.4,1,0,0,0,0,0,0,1,0.98127,1,0,0,0,0,0.9948,872.1,659.21
presence,1.0,6534687626,64.625395,29.697382,628947.9289617579,7169449.837978695,38053,35707,2026,2023,10.0,24,13,0,0,13,3,30,33,4,0.92857,0,0,2387.3,0,0,0,1,0,0,0,0,0,1,0,0,0,38,48,1.6667,50,10.333,76.259,69.907,17.5,50.352,15.185,0.45679,199,0,204.2,3.0619,0.99315,0.11684,0.097946,-1.5892,4.5,0,0,0,0,1,0,0,0.32099,0.44225,0,1,0,0,0,0.36316,961.18,668.02
presence,1.0,6534692366,61.071513,22.048989,232999.72568629048,6780858.613355133,62340,10960,2026,2023,1.0,39,79,14,4,97,14,41,120,13,0.80612,0.14286,0.040816,1054.8,0,0,1,0,0,0,0,0,0,1,0,0,0,72.375,137.75,22.75,56.25,21.125,73.878,105.09,36.486,58.23,20.568,0.58025,223,1,65.9,6.2419,0.8,-0.6,0.81225,1.7626,6.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1355,607.99
presence,1.0,5760866864,68.966095,27.003345,500133.9867192918,7650581.591441349,7982,27656,2025,2023,9.0,108,80,0,0,80,18,40,112,16,0.98765,0,0,895.25,0,0,1,0,0,0,0,0,0,1,0,0,0,83.111,70.444,0,35,13.778,117.47,83.2,0.08,37.707,14.707,0.53086,149,0,170.4,9.6138,0.49812,-0.86711,-0.73468,-2.437,8.1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,677.22,480.37
presence,0.3,5888911706,68.466551,28.465853,560038.9766384951,7595596.520633382,11419,31400,2025,2023,1000.0,66,35,0,0,35,7,27.5,67,8.5,0.96875,0,0,1233.5,0,0,0,1,0,0,0,0,0,1,0,0,0,59.722,47.222,0,25.333,6.7222,61.497,36.79,0,23.819,6.4154,0.8642,78.5,0,131.85,7.5143,-0.80359,0.4836,-0.16122,-2.0154,14.1,0.5,0,0,0.5,0,0,0,0.41358,0.38918,0.5,0,0,0,0.5,0.40427,697.77,481.29
presence,0.3,5892121656,68.128505,28.477306,561410.8993103933,7557926.344718347,13773,31486,2025,2023,1000.0,117.8,61.6,11,5.2,78.8,11.8,32.8,121.2,17.4,0.74865,0.14105,0.077256,1172.5,0,0,0.4,0.6,0,0,0,0,0,1,0,0,0,130.98,61.222,13.156,34.822,12.289,140.67,64.193,8.9235,32.119,11.83,0.67901,129.6,0.2,255.34,10.828,-0.12737,0.63782,-0.81183,-5.5903,18,0.2,0.8,0,0,0,0,0,0.2,0.18481,0.2,0,0,0,0.8,0.12383,644.35,551.96
presence,0.3,5898726671,68.421437,28.396171,557299.3341648597,7590501.2186421305,11737,31229,2025,2023,1000.0,176.2,93,1,6.8,100.8,14,38.2,133,22.2,0.8266,0.030303,0.12478,375.39,0,0.2,0,0.8,0,0,0,0,0,0.8,0,0.2,0,184.46,109.5,0.88571,38.286,14.978,191.93,108.23,1.6039,37.987,15.562,0.92099,170.8,0,171.38,7.3342,0.1936,-0.36303,-0.74816,-1.1052,17.32,0.4,0.6,0,0,0,0,0,0.31358,0.19625,0,0,0,0,1,0.013736,696.95,485.09
presence,1.0,5830700863,69.195739,27.878549,534823.2212570613,7676437.7526958985,6366,29824,2025,2023,6.0,220,44,0,4,49,8,25,101,23,0.88,0,0.08,192.55,0,0,0,1,0,0,0,0,0,1,0,0,0,200.11,79,0,29.889,12,145.16,76.696,0,29.609,11.826,0.60494,146,0,134.5,1.5294,0.93633,-0.35113,0.42653,-0.50667,1.6,1,0,0,0,0,0,0,0.82716,0.83559,1,0,0,0,0,0.82206,673.22,460.08
presence,1.0,5844788659,68.308578,28.005396,541468.4772085771,7577606.725941122,12543,30239,2025,2023,250.0,82,20,0,2,22,4,12,89,14,0.86957,0,0.086957,259.84,0,0,0,1,0,0,0,0,0,1,0,0,0,75.111,25.222,0,12.111,3.5556,78.951,27.469,0,14.395,4.7778,0.38272,94,0,321.2,7.8051,0.72954,-0.68394,0.55103,2.6624,18.9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,651.84,544.07
