id,prec,year,unc_m,hab,hab_why,hab_frac,era,age_new,est_year,cut,forest_frac
6498547472,tarkka,2026,84,ennallaan,tuore_havainto,1.0,2023,40,1983,0,1.0
6498661350,tuntematon,2026,,ei_tietoa,liian_epatarkka,,,,,,
6534665505,tarkka,2026,10,ennallaan,tuore_havainto,1.0,2023,88,1935,0,1.0
6534687626,tarkka,2026,10,ulkopuolella,ei_metsatalousmaata,0.56,2023,55,1968,0,0.44
6534692366,tarkka,2026,1,ennallaan,tuore_havainto,0.89,2023,72,1951,0,0.89
5760866864,tarkka,2025,9,ennallaan,tuore_havainto,1.0,2023,92,1931,0,1.0
5867901307,tuntematon,2025,,ei_tietoa,liian_epatarkka,,,,,,
5888911706,summittainen,2025,1000,ennallaan,tuore_havainto,0.67,2023,119,1904,0,0.67
5892121656,summittainen,2025,1000,ennallaan,tuore_havainto,1.0,2023,174,1849,0,1.0
5898726671,summittainen,2025,1000,ennallaan,tuore_havainto,1.0,2023,190,1833,0,1.0
5762416521,alueellinen,2025,10000,ei_tietoa,liian_epatarkka,,,,,,
5830700863,tarkka,2025,6,ennallaan,tuore_havainto,1.0,2023,198,1825,0,1.0
5844788659,tarkka,2025,250,ennallaan,tuore_havainto,1.0,2023,90,1933,0,1.0
5844793621,tarkka,2025,250,ennallaan,tuore_havainto,1.0,2023,90,1933,0,1.0
5844797852,tarkka,2025,250,ennallaan,tuore_havainto,1.0,2023,90,1933,0,1.0
6133405962,tuntematon,2025,,ei_tietoa,liian_epatarkka,,,,,,
6499727194,alueellinen,2025,2293,ei_tietoa,liian_epatarkka,,,,,,
6519635386,tarkka,2025,25,ennallaan,tuore_havainto,1.0,2023,184,1839,0,1.0
4925234382,tarkka,2024,1,ennallaan,tuore_havainto,1.0,2023,30,1993,0,1.0
4927217726,tarkka,2024,1,epavarma,osa_alueesta_hakattu,0.33,2023,81,1942,2,1.0
4929449643,tarkka,2024,1,ennallaan,tuore_havainto,1.0,2023,68,1955,0,1.0
4979541032,tarkka,2024,100,ennallaan,tuore_havainto,1.0,2023,98,1925,0,1.0
4929450281,tarkka,2024,1,ennallaan,tuore_havainto,1.0,2023,79,1944,0,1.0
4938773872,tarkka,2024,1,ennallaan,tuore_havainto,1.0,2023,84,1939,0,1.0
4939429523,tarkka,2024,1,ennallaan,tuore_havainto,0.89,2023,73,1950,0,0.89
4979541595,tarkka,2024,1,ennallaan,tuore_havainto,1.0,2023,71,1952,0,1.0
4979544599,summittainen,2024,1000,ulkopuolella,ei_metsatalousmaata,0.89,2023,80,1943,0,0.11
4169789348,alueellinen,2023,25000,ei_tietoa,liian_epatarkka,,,,,,
4176990070,tarkka,2023,31,ennallaan,tuore_havainto,1.0,2023,50,1973,0,1.0
4403547350,tarkka,2023,100,ennallaan,tuore_havainto,1.0,2023,45,1978,0,1.0
4403473055,summittainen,2023,1000,epavarma,osa_alueesta_hakattu,0.22,2023,74,1949,2,1.0
4406204622,summittainen,2023,1000,ennallaan,tuore_havainto,0.67,2023,98,1925,0,0.67
4412461436,tarkka,2023,100,ennallaan,tuore_havainto,0.56,2023,72,1951,1,1.0
4412691435,tarkka,2023,1,ennallaan,tuore_havainto,1.0,2023,60,1963,0,1.0
4418547819,tarkka,2023,1,ennallaan,tuore_havainto,0.78,2023,53,1970,0,0.78
4604652320,summittainen,2023,1000,epavarma,osa_alueesta_hakattu,0.22,2023,51,1972,2,1.0
4858923525,summittainen,2023,1000,ennallaan,tuore_havainto,0.89,2023,94,1929,0,0.89
6194034300,tarkka,2023,1,ennallaan,tuore_havainto,1.0,2023,77,1946,0,1.0
6194038551,tarkka,2023,1,ennallaan,tuore_havainto,1.0,2023,90,1933,0,1.0
6500091939,tarkka,2023,203,ulkopuolella,ei_metsatalousmaata,0.56,2023,52,1971,0,0.44
4421727536,summittainen,2023,1000,ennallaan,tuore_havainto,0.78,2023,95,1928,0,0.78
