source,id,date,year,month,day,lat,lon,unc_m,basis,dataset,dataset_key,license,locality
gbif,6498547472,2026-08-18,2026,8,18,62.720135,28.997909,84.0,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,
gbif,6498661350,2026-08-11,2026,8,11,67.40213,26.062365,,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,
gbif,5760866864,2025-08-28,2025,8,28,68.966095,27.003345,9.0,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,
gbif,5867901307,2025-08-16,2025,8,16,69.14909,27.217232,,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,
gbif,5888911706,2025-08-19,2025,8,19,68.466551,28.465853,1000.0,MACHINE_OBSERVATION,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode,Raja-Joosepin kenttä
gbif,5892121656,2025-08-22,2025,8,,68.128505,28.477306,1000.0,MACHINE_OBSERVATION,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode,Jaurujoki
gbif,5898726671,2025-08-26,2025,8,26,68.421437,28.396171,1000.0,MACHINE_OBSERVATION,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode,Alempi Kiertämäjärvi
gbif,5762416521,2025-09-03,2025,9,3,64.746114,24.791228,10000.0,HUMAN_OBSERVATION,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode,
gbif,5830700863,2025-09-03,2025,9,3,69.195739,27.878549,6.0,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,
gbif,5844788659,2025-09-18,2025,9,18,68.308578,28.005396,250.0,HUMAN_OBSERVATION,,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,http://creativecommons.org/licenses/by/4.0/legalcode,Urho-Kekkonen-Nationalpark
gbif,5844793621,2025-09-27,2025,9,27,68.308578,28.005396,250.0,HUMAN_OBSERVATION,,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,http://creativecommons.org/licenses/by/4.0/legalcode,Urho-Kekkonen-Nationalpark
gbif,5844797852,2025-09-17,2025,9,17,68.308578,28.005396,250.0,HUMAN_OBSERVATION,,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,http://creativecommons.org/licenses/by/4.0/legalcode,Urho-Kekkonen-Nationalpark
gbif,6133405962,2025-09-03,2025,9,3,69.194937,27.877096,,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,
gbif,6499727194,2025-09-09,2025,9,9,68.657637,27.539706,2293.0,HUMAN_OBSERVATION,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,
gbif,4925234382,2024-08-18,2024,8,18,65.114456,25.640388,1.0,HUMAN_OBSERVATION,Löydös Open Finnish Observation Database,956bc674-6022-4c52-833e-c5fb39dc837a,http://creativecommons.org/licenses/by/4.0/legalcode,
gbif,4927217726,2024-08-27,2024,8,27,65.153615,25.241415,1.0,MACHINE_OBSERVATION,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode,"Haukipudas, Keskiniemi"
gbif,4929449643,2024-08-31,2024,8,31,65.15874,25.446694,1.0,MACHINE_OBSERVATION,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode,Haukipudas
