id,prec,year,unc_m,hab,hab_why,hab_frac,era,age_new,est_year,cut,forest_frac
6489953418,tarkka,2026,10,ennallaan,tuore_havainto,1.0,2010,104,1906,0,1.0
6490504341,tarkka,2026,25,ennallaan,tuore_havainto,1.0,2010,53,1957,0,1.0
6500827305,tarkka,2026,10,ennallaan,tuore_havainto,1.0,2010,85,1925,0,1.0
6500946440,tarkka,2026,10,ennallaan,tuore_havainto,1.0,2010,114,1896,0,0.56
6501098348,tarkka,2026,5,epavarma,hakkuuaikomus,0.56,2010,68,1942,1,1.0
6501140350,tarkka,2026,1,ennallaan,tuore_havainto,1.0,2010,108,1902,0,1.0
6501687314,tarkka,2026,10,ennallaan,tuore_havainto,1.0,2010,63,1947,0,1.0
6508254340,tarkka,2026,10,ennallaan,tuore_havainto,1.0,2010,105,1905,0,1.0
6508320319,tarkka,2026,10,ennallaan,tuore_havainto,1.0,2010,118,1892,0,1.0
6508398322,tarkka,2026,10,ei_tietoa,ei_metsavaratietoa,,2010,,,0,0.0
6508576360,tarkka,2026,5,ennallaan,tuore_havainto,1.0,2010,92,1918,0,1.0
6508771381,tarkka,2026,100,ennallaan,tuore_havainto,1.0,2010,84,1926,0,0.78
6508783339,tarkka,2026,10,ennallaan,tuore_havainto,1.0,2010,76,1934,0,1.0
6509026363,tarkka,2026,10,ei_tietoa,ei_metsavaratietoa,,2010,,,0,0.0
6509218398,tarkka,2026,200,ennallaan,tuore_havainto,1.0,2010,56,1954,0,1.0
6522836329,tarkka,2026,10,ennallaan,tuore_havainto,1.0,2010,68,1942,0,1.0
6522882436,tarkka,2026,10,ennallaan,tuore_havainto,1.0,2010,56,1954,0,1.0
6523387346,tarkka,2026,10,ennallaan,tuore_havainto,1.0,2010,80,1930,0,1.0
6523465419,tarkka,2026,50,ennallaan,tuore_havainto,1.0,2010,116,1894,0,1.0
6523583324,tarkka,2026,10,ennallaan,tuore_havainto,1.0,2010,71,1939,0,1.0
6523716396,tarkka,2026,10,ennallaan,tuore_havainto,1.0,2010,92,1918,2,1.0
6523917400,tarkka,2026,10,ennallaan,tuore_havainto,1.0,2010,64,1946,2,1.0
6535626306,tarkka,2026,5,ennallaan,tuore_havainto,1.0,2010,80,1930,0,1.0
6535630334,tarkka,2026,5,ennallaan,tuore_havainto,1.0,2010,49,1961,2,1.0
6536002376,tarkka,2026,10,ennallaan,tuore_havainto,1.0,2010,58,1952,0,1.0
6536728332,tarkka,2026,5,ennallaan,tuore_havainto,1.0,2010,105,1905,0,1.0
6522845332,tarkka,2026,11,ennallaan,tuore_havainto,1.0,2010,142,1868,0,1.0
6522973429,tarkka,2026,5,ennallaan,tuore_havainto,1.0,2010,86,1924,0,1.0
6523713314,tarkka,2026,10,ennallaan,tuore_havainto,0.56,2010,71,1939,2,1.0
6535695303,summittainen,2026,400,ennallaan,tuore_havainto,1.0,2010,101,1909,0,0.78
6536137374,tarkka,2026,5,ennallaan,tuore_havainto,1.0,2010,50,1960,0,1.0
6536571337,tarkka,2025,10,ennallaan,tuore_havainto,1.0,2010,131,1879,0,1.0
5287358406,tarkka,2025,150,ennallaan,tuore_havainto,1.0,2010,11,1999,0,0.78
5294775052,tarkka,2025,213,ennallaan,tuore_havainto,1.0,2010,71,1939,2,1.0
5294843651,tarkka,2025,10,ennallaan,tuore_havainto,1.0,2010,0,2010,2,1.0
5294869806,tarkka,2025,200,ennallaan,tuore_havainto,1.0,2010,70,1940,0,1.0
5758955082,tarkka,2025,10,ennallaan,tuore_havainto,0.78,2010,79,1931,1,1.0
5758991145,tarkka,2025,10,ei_tietoa,ei_metsavaratietoa,,2010,,,0,0.0
5759068856,tarkka,2025,10,ennallaan,tuore_havainto,1.0,2010,144,1866,0,1.0
5759090251,tarkka,2025,200,ennallaan,tuore_havainto,1.0,2010,76,1934,0,1.0
5759094786,tarkka,2025,141,ennallaan,tuore_havainto,1.0,2010,94,1916,0,0.89
5759122957,tarkka,2025,10,ennallaan,tuore_havainto,1.0,2010,133,1877,0,1.0
5759141252,tarkka,2025,1,ennallaan,tuore_havainto,1.0,2010,94,1916,2,1.0
5759155200,tarkka,2025,200,ennallaan,tuore_havainto,1.0,2010,81,1929,0,0.67
5759168248,tarkka,2025,10,ennallaan,tuore_havainto,1.0,2010,45,1965,0,1.0
5922831365,tarkka,2025,10,ennallaan,tuore_havainto,1.0,2010,0,2010,0,0.56
6427612405,tarkka,2025,10,ennallaan,tuore_havainto,1.0,2010,65,1945,2,0.33
5763221042,tarkka,2025,20,ennallaan,tuore_havainto,1.0,2010,63,1947,0,1.0
5763237111,tarkka,2025,10,ennallaan,tuore_havainto,1.0,2010,59,1951,0,1.0
5763243897,tarkka,2025,5,ennallaan,tuore_havainto,1.0,2010,123,1887,0,1.0
5763255833,tarkka,2025,5,ennallaan,tuore_havainto,1.0,2010,110,1900,0,0.33
5763280627,tarkka,2025,50,ennallaan,tuore_havainto,1.0,2010,101,1909,0,1.0
5821859406,tarkka,2025,10,ei_tietoa,ei_metsavaratietoa,,2010,,,0,0.0
5821867407,tarkka,2025,15,ennallaan,tuore_havainto,1.0,2010,108,1902,0,1.0
5821876398,tarkka,2025,10,ennallaan,tuore_havainto,1.0,2010,98,1912,0,1.0
5821876829,tarkka,2025,10,ennallaan,tuore_havainto,1.0,2010,79,1931,0,1.0
5821878468,tarkka,2025,10,ei_tietoa,ei_metsavaratietoa,,2010,,,0,0.0
5821884618,tarkka,2025,15,ennallaan,tuore_havainto,1.0,2010,99,1911,0,0.89
5821886089,tarkka,2025,10,ennallaan,tuore_havainto,1.0,2010,119,1891,0,1.0
5821895839,tarkka,2025,5,ennallaan,tuore_havainto,1.0,2010,126,1884,0,1.0
5821900578,tarkka,2025,10,ennallaan,tuore_havainto,1.0,2010,126,1884,0,1.0
5821901939,tarkka,2025,3,ennallaan,tuore_havainto,1.0,2010,122,1888,0,1.0
5821902716,tarkka,2025,10,ennallaan,tuore_havainto,1.0,2010,83,1927,0,0.56
5821908274,tarkka,2025,10,ei_tietoa,ei_metsavaratietoa,,2010,,,0,0.0
5821908558,tarkka,2025,15,muuttunut,hakattu,0.71,2010,60,1950,2,0.78
5821911246,tarkka,2025,10,ennallaan,tuore_havainto,1.0,2010,126,1884,0,1.0
5821924499,tarkka,2025,10,ennallaan,tuore_havainto,1.0,2010,0,2010,0,1.0
5821937723,tarkka,2025,3,ennallaan,tuore_havainto,1.0,2010,139,1871,0,1.0
5821939284,tarkka,2025,10,ennallaan,tuore_havainto,1.0,2010,148,1862,0,0.22
5821945513,tarkka,2025,10,ennallaan,tuore_havainto,1.0,2010,84,1926,0,1.0
5821955940,tarkka,2025,2,ennallaan,tuore_havainto,1.0,2010,106,1904,0,1.0
5821968622,tarkka,2025,10,ennallaan,tuore_havainto,1.0,2010,93,1917,0,1.0
5821971475,tarkka,2025,10,ennallaan,tuore_havainto,1.0,2010,148,1862,0,0.33
5821979449,tarkka,2025,25,ennallaan,tuore_havainto,1.0,2010,50,1960,0,0.33
5821982847,tarkka,2025,5,ennallaan,tuore_havainto,1.0,2010,95,1915,0,1.0
5821985602,tarkka,2025,20,ennallaan,tuore_havainto,1.0,2010,69,1941,0,0.56
5821985981,tarkka,2025,10,ennallaan,tuore_havainto,1.0,2010,123,1887,0,1.0
5821989408,tarkka,2025,10,ennallaan,tuore_havainto,1.0,2010,133,1877,0,1.0
5821994048,alueellinen,2025,1414,ei_tietoa,liian_epatarkka,,,,,,
5821994754,tarkka,2025,10,ennallaan,tuore_havainto,1.0,2010,117,1893,0,0.78
5821999372,tarkka,2025,10,ei_tietoa,ei_metsavaratietoa,,2010,,,0,0.0
5822001485,tarkka,2025,10,ennallaan,tuore_havainto,1.0,2010,151,1859,0,0.67
5822015742,tarkka,2025,5,ennallaan,tuore_havainto,1.0,2010,131,1879,0,1.0
5829587452,tarkka,2025,10,ennallaan,tuore_havainto,1.0,2010,94,1916,0,1.0
5829587994,tarkka,2025,10,ennallaan,tuore_havainto,1.0,2010,100,1910,0,0.33
5829589069,tarkka,2025,10,ennallaan,tuore_havainto,1.0,2010,68,1942,0,1.0
5829622189,tarkka,2025,10,ei_tietoa,ei_metsavaratietoa,,2010,,,0,0.0
5829639601,tarkka,2025,10,ei_tietoa,ei_metsavaratietoa,,2010,,,0,0.0
5829642714,tarkka,2025,10,ennallaan,tuore_havainto,1.0,2010,86,1924,0,1.0
5829654177,tarkka,2025,10,ennallaan,tuore_havainto,1.0,2010,118,1892,0,1.0
5829669062,tarkka,2025,10,ennallaan,tuore_havainto,1.0,2010,119,1891,0,1.0
