source,id,date,year,month,day,lat,lon,unc_m,basis,verification_status,dataset,dataset_key,license,province,locality,remarks,event_remarks,habitat
gbif,6489953418,2026-08-18,2026,8,18,64.48055,19.13668,10.0,HUMAN_OBSERVATION,Unvalidated,Artportalen,38b4c89f-584c-41bb-bd8f-cd1def33e92f,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Västerbotten,"Hällmyrdalen, Hällmyrdalen, Vb",,,
gbif,6490504341,2026-08-17,2026,8,17,61.99408,14.44537,25.0,HUMAN_OBSERVATION,Unvalidated,Artportalen,38b4c89f-584c-41bb-bd8f-cd1def33e92f,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Härjedalen,"Lillåns station, Lillåns station, Hjd",,,
gbif,6500827305,2026-08-26,2026,8,26,64.51315,20.7939,10.0,HUMAN_OBSERVATION,Unvalidated,Artportalen,38b4c89f-584c-41bb-bd8f-cd1def33e92f,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Västerbotten,"Basmyrberget, Basmyrberget, Vb",,,
gbif,6500946440,2026-08-22,2026,8,22,60.17859,16.80015,10.0,HUMAN_OBSERVATION,Unvalidated,Artportalen,38b4c89f-584c-41bb-bd8f-cd1def33e92f,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Uppland,"Östaholm, Upl",,,
gbif,6501098348,2026-08-19,2026,8,19,64.98791,17.70296,5.0,HUMAN_OBSERVATION,Unvalidated,Artportalen,38b4c89f-584c-41bb-bd8f-cd1def33e92f,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Lycksele lappmark,"Lill-Tjickuträsket, Lill-Tjickuträsket, Ly lm",,,
gbif,6501140350,2026-08-23,2026,8,23,61.66634,13.24234,1.0,HUMAN_OBSERVATION,Unvalidated,Artportalen,38b4c89f-584c-41bb-bd8f-cd1def33e92f,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Dalarna,"Fjätnäset, Dlr",,,
gbif,6501687314,2026-08-21,2026,8,21,66.82944,22.02381,10.0,HUMAN_OBSERVATION,Unvalidated,Artportalen,38b4c89f-584c-41bb-bd8f-cd1def33e92f,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Lule lappmark,"Nyckelbiotopen i Nuojukoski, Lu lm",,,Äldre tallskog på åssluttning vid myrkant med mossa och lingonris
gbif,6508254340,2026-08-27,2026,8,27,64.38724,19.37584,10.0,HUMAN_OBSERVATION,Unvalidated,Artportalen,38b4c89f-584c-41bb-bd8f-cd1def33e92f,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Västerbotten,"Stryckheden BS, Strycksele, Vb",,,
gbif,6508320319,2026-08-31,2026,8,31,61.09343,14.47215,10.0,HUMAN_OBSERVATION,Unvalidated,Artportalen,38b4c89f-584c-41bb-bd8f-cd1def33e92f,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Dalarna,"Bonäsheden, Dlr",,,
gbif,6508398322,2026-08-31,2026,8,31,67.8379,20.88904,10.0,HUMAN_OBSERVATION,Unvalidated,Artportalen,38b4c89f-584c-41bb-bd8f-cd1def33e92f,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Torne lappmark,"Tikkakantoharju, T lm",,,
gbif,6508576360,2026-08-25,2026,8,25,65.67606,20.40283,5.0,HUMAN_OBSERVATION,Unvalidated,Artportalen,38b4c89f-584c-41bb-bd8f-cd1def33e92f,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Norrbotten,"Vistbäcken, Nb",Påträffad under Sveaskogs naturvärdesinventering,,
gbif,6508771381,2026-08-29,2026,8,29,61.08795,14.42484,100.0,HUMAN_OBSERVATION,Unvalidated,Artportalen,38b4c89f-584c-41bb-bd8f-cd1def33e92f,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Dalarna,"Ätjärnen, Dlr",,,
gbif,6508783339,2026-08-30,2026,8,30,62.02539,14.34251,10.0,HUMAN_OBSERVATION,Unvalidated,Artportalen,38b4c89f-584c-41bb-bd8f-cd1def33e92f,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Härjedalen,"Hinriksön, Hinriksön, Hjd",,,
gbif,6509026363,2026-08-29,2026,8,29,59.74515,14.2907,10.0,HUMAN_OBSERVATION,Unvalidated,Artportalen,38b4c89f-584c-41bb-bd8f-cd1def33e92f,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Värmland,"Högberget, Vrm","Ännu en skum växtplats för den på Högbergsfältet. Ungtallar och björkar, kalkrikt",,
gbif,6509218398,2026-08-29,2026,8,29,64.07466,19.99538,200.0,HUMAN_OBSERVATION,Unvalidated,Artportalen,38b4c89f-584c-41bb-bd8f-cd1def33e92f,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Västerbotten,"Hundsjöberget, Vb",,,
gbif,6522836329,2026-08-24,2026,8,24,65.97834,20.09095,10.0,HUMAN_OBSERVATION,Unvalidated,Artportalen,38b4c89f-584c-41bb-bd8f-cd1def33e92f,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Lule lappmark,"Nästräsk, Lu lm",Påträffad under Sveaskogs naturvärdesinventering,,
gbif,6522882436,2026-08-24,2026,8,24,65.9773,20.09098,10.0,HUMAN_OBSERVATION,Unvalidated,Artportalen,38b4c89f-584c-41bb-bd8f-cd1def33e92f,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Lule lappmark,"Nästräsk, Lu lm",Påträffad under Sveaskogs naturvärdesinventering,,
gbif,6523387346,2026-08-24,2026,8,24,65.9774,20.08911,10.0,HUMAN_OBSERVATION,Unvalidated,Artportalen,38b4c89f-584c-41bb-bd8f-cd1def33e92f,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Lule lappmark,"Nästräsk, Lu lm",Påträffad under Sveaskogs naturvärdesinventering,,
gbif,6523465419,2026-08-29,2026,8,29,64.69972,18.61662,50.0,HUMAN_OBSERVATION,Unvalidated,Artportalen,38b4c89f-584c-41bb-bd8f-cd1def33e92f,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Lycksele lappmark,"Lycksabäcken, Ly lm",,,
gbif,6523583324,2026-08-24,2026,8,24,65.97763,20.091,10.0,HUMAN_OBSERVATION,Unvalidated,Artportalen,38b4c89f-584c-41bb-bd8f-cd1def33e92f,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Lule lappmark,"Nästräsk, Lu lm",Påträffad under Sveaskogs naturvärdesinventering,,
gbif,6523716396,2026-08-24,2026,8,24,65.97944,20.08969,10.0,HUMAN_OBSERVATION,Unvalidated,Artportalen,38b4c89f-584c-41bb-bd8f-cd1def33e92f,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Lule lappmark,"Nästräsk, Lu lm",Påträffad under Sveaskogs naturvärdesinventering,,
gbif,6523917400,2026-08-24,2026,8,24,65.97996,20.08816,10.0,HUMAN_OBSERVATION,Unvalidated,Artportalen,38b4c89f-584c-41bb-bd8f-cd1def33e92f,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Lule lappmark,"Nästräsk, Lu lm",Påträffad under Sveaskogs naturvärdesinventering,,
