row,col
9,47
11,44
11,47
12,44
13,43
13,50
14,43
14,44
14,48
14,49
15,42
15,44
16,40
16,44
16,45
17,39
17,45
17,46
18,44
19,43
19,49
20,44
20,47
22,49
24,29
25,29
25,42
26,31
27,34
28,30
28,46
29,29
30,44
30,48
31,43
33,40
33,43
33,46
34,46
35,30
35,44
37,33
37,36
38,36
38,50
39,40
40,36
40,37
41,37
41,38
42,40
42,41
42,53
42,54
43,39
43,40
43,44
43,54
45,46
46,49
51,50
52,55
52,56
53,45
53,56
54,50
55,35
55,36
55,38
56,35
56,37
57,45
58,37
58,41
59,35
59,52
59,53
60,33
60,37
60,39
61,40
62,41
63,34
63,42
63,47
64,44
66,28
66,54
67,49
68,52
69,27
70,23
71,30
71,49
73,59
75,25
76,51
77,45
79,50
81,18
81,47
82,56
83,57
84,51
84,57
85,55
86,33
86,52
88,50
90,32
90,45
93,34
93,56
94,33
94,42
95,13
98,17
98,24
98,47
99,36
99,40
99,47
99,48
100,33
100,50
102,20
102,36
102,42
103,37
105,20
105,32
106,31
107,16
107,17
108,9
108,32
108,33
109,29
109,30
109,37
110,17
110,24
110,29
110,30
110,33
111,20
113,26
113,27
113,29
114,21
