year,month,n
1981,7,118
1981,8,45
1981,9,143
1981,10,13
1982,7,6
1982,8,14
1982,9,43
1982,10,7
1983,7,12
1983,8,23
1983,9,64
1983,10,20
1984,7,30
1984,8,72
1984,9,63
1984,10,31
1985,7,47
1985,8,37
1985,9,39
1985,10,34
1986,7,50
1986,8,74
1986,9,122
1986,10,39
1987,7,92
1987,8,210
1987,9,129
1987,10,68
1988,7,108
1988,8,386
1988,9,185
1988,10,46
1989,7,81
1989,8,128
1989,9,332
1989,10,146
1990,7,69
1990,8,134
1990,9,370
1990,10,53
1991,7,52
1991,8,80
1991,9,212
1991,10,74
1992,7,106
1992,8,181
1992,9,280
1992,10,59
1993,7,245
1993,8,329
1993,9,319
1993,10,112
1994,7,232
1994,8,476
1994,9,340
1994,10,186
1995,7,200
1995,8,373
1995,9,417
1995,10,276
1996,7,217
1996,8,161
1996,9,263
1996,10,150
1997,7,80
1997,8,267
1997,9,376
1997,10,257
1998,7,78
1998,8,1618
1998,9,277
1998,10,163
1999,7,109
1999,8,1263
1999,9,936
1999,10,365
2000,7,309
2000,8,1949
2000,9,876
2000,10,356
2001,7,234
2001,8,412
2001,9,1512
2001,10,329
2002,7,61
2002,8,193
2002,9,242
2002,10,205
2003,7,162
2003,8,1416
2003,9,1962
2003,10,460
2004,7,230
2004,8,1164
2004,9,1519
2004,10,1018
2005,7,217
2005,8,1225
2005,9,2022
2005,10,875
2006,7,452
2006,8,177
2006,9,878
2006,10,658
2007,7,1196
2007,8,5181
2007,9,5863
2007,10,1450
2008,7,2203
2008,8,3981
2008,9,6945
2008,10,1586
2009,7,675
2009,8,4779
2009,9,10315
2009,10,3720
2010,7,715
2010,8,6464
2010,9,7571
2010,10,2867
2011,7,821
2011,8,1899
2011,9,1758
2011,10,1522
2012,7,933
2012,8,2443
2012,9,6008
2012,10,1164
2013,7,107
2013,8,3311
2013,9,4109
2013,10,954
2014,7,382
2014,8,1357
2014,9,3384
2014,10,1017
2015,7,164
2015,8,440
2015,9,2595
2015,10,523
2016,7,255
2016,8,978
2016,9,2807
2016,10,1212
2017,7,331
2017,8,1121
2017,9,3842
2017,10,1135
2018,7,294
2018,8,1752
2018,9,3700
2018,10,2074
2019,7,535
2019,8,3704
2019,9,4118
2019,10,4157
2020,7,1897
2020,8,4427
2020,9,6148
2020,10,2932
2021,7,1717
2021,8,7636
2021,9,9508
2021,10,2959
2022,7,1636
2022,8,4398
2022,9,5455
2022,10,3152
2023,7,2871
2023,8,4995
2023,9,9843
2023,10,4363
2024,7,2801
2024,8,4759
2024,9,5890
2024,10,4312
2025,7,2835
2025,8,5528
2025,9,8162
2025,10,4400
