group,lat,lon,year,cycle,score_mlp
presence,62.720135,28.997909,2026.0,2023,0.8336634635925293
presence,68.966095,27.003345,2025.0,2023,0.6499560276667277
presence,68.466551,28.465853,2025.0,2023,0.9516159296035767
presence,68.128505,28.477306,2025.0,2023,0.722594698270162
presence,68.421437,28.396171,2025.0,2023,0.7439623276392618
presence,69.195739,27.878549,2025.0,2023,0.9753696918487549
presence,68.308578,28.005396,2025.0,2023,0.43259088198343915
presence,68.308578,28.005396,2025.0,2023,0.43259088198343915
presence,68.308578,28.005396,2025.0,2023,0.43259088198343915
presence,65.114456,25.640388,2024.0,2023,0.922573467095693
presence,65.153615,25.241415,2024.0,2023,0.9646319548288981
presence,65.15874,25.446694,2024.0,2023,0.669101357460022
presence,66.471109,25.85725,2024.0,2023,0.8907886346181234
presence,64.600457,26.47871,2024.0,2023,0.9902979731559753
presence,66.257046,26.035752,2024.0,2023,0.9130890766779581
presence,61.178607,28.365914,2024.0,2023,0.6426335175832113
presence,66.53989,25.50549,2024.0,2023,0.5346803764502207
presence,62.796909,29.564842,2023.0,2023,0.6961016456286112
presence,61.312901,23.417445,2023.0,2023,0.15200795978307724
presence,65.147295,25.286319,2023.0,2023,0.8780741294225057
presence,66.500553,25.758758,2023.0,2023,0.8813984791437784
presence,59.992641,24.449354,2023.0,2023,0.2400034541885058
presence,61.178489,28.365735,2023.0,2023,0.7350360155105591
presence,64.205882,29.179715,2023.0,2023,0.9038964907328287
presence,62.044518,24.848276,2023.0,2023,0.8790160814921061
presence,60.29257,24.501465,2023.0,2023,0.24028744300206503
presence,66.500983,25.761039,2023.0,2023,0.812095840771993
presence,66.500721,25.767725,2023.0,2023,0.8586367964744568
presence,59.82941,23.03314,2023.0,2023,0.4911613365014394
presence,61.74856,25.19531,2023.0,2023,0.20006125420331955
presence,66.002045,28.326792,2022.0,2021,0.9522385994593302
presence,66.473553,25.860447,2022.0,2021,0.981229325135549
presence,64.800908,25.289505,2022.0,2021,0.5664154986540476
presence,66.290847,27.193143,2022.0,2021,0.7468684315681458
presence,68.709326,27.274347,2022.0,2021,0.5673568248748779
presence,68.710027,27.273368,2022.0,2021,0.6399669746557871
presence,68.70673,27.28226,2022.0,2021,0.8341958324114481
presence,68.706199,27.283043,2022.0,2021,0.8521724144617716
presence,68.70206,27.27485,2022.0,2021,0.6168936888376871
presence,68.706128,27.28287,2022.0,2021,0.8521724144617716
presence,68.698494,27.289063,2022.0,2021,0.7688905000686646
presence,68.69923,27.294006,2022.0,2021,0.7790058652559916
presence,68.455388,28.415464,2022.0,2021,0.9845098853111267
presence,68.45241,28.427351,2022.0,2021,0.9809578657150269
presence,68.457075,28.451169,2022.0,2021,0.9874320228894552
presence,68.456069,28.418349,2022.0,2021,0.982644259929657
presence,68.45257,28.422259,2022.0,2021,0.989190677801768
presence,68.454254,28.403738,2022.0,2021,0.974724272886912
presence,68.761187,27.286741,2022.0,2021,0.5739508469899496
presence,68.896304,26.965222,2022.0,2021,0.8686864177385966
presence,65.29759,28.421043,2021.0,2021,0.0901224675277869
presence,66.612928,26.324151,2021.0,2021,0.3767407884200414
presence,63.34409,23.370234,2021.0,2021,0.420589084426562
presence,60.348612,25.880321,2021.0,2021,0.3806692510843277
presence,65.29759,28.421043,2021.0,2021,0.025655659691741068
presence,64.137812,28.30137,2021.0,2021,0.8876551389694214
presence,60.285835,25.20057,2020.0,2019,0.5646712779998779
presence,60.615453,24.830894,2020.0,2019,0.5069709420204163
presence,65.161838,25.300031,2020.0,2019,0.9430670539538065
presence,64.608195,26.470607,2020.0,2019,0.9653741518656412
presence,64.605137,26.489836,2020.0,2019,0.9836482803026835
presence,61.765044,29.385568,2020.0,2019,0.3040880983074506
presence,68.590135,27.55956,2020.0,2019,0.7636041442553202
presence,66.4996,25.760908,2020.0,2019,0.8038356502850851
presence,66.46029,25.802411,2020.0,2019,0.1428446645538012
presence,66.325541,26.230054,2020.0,2019,0.7923640410105387
presence,60.637136,24.744766,2020.0,2019,0.17353329062461853
presence,64.18277,29.220636,2020.0,2019,0.7648227016131083
presence,63.998852,28.779969,2020.0,2019,0.9059190154075623
presence,63.275163,27.463617,2020.0,2019,0.5476170809318622
presence,67.742542,24.089976,2020.0,2019,0.35940876603126526
presence,64.451392,26.791578,2020.0,2019,0.9826501806577047
presence,62.657545,29.67942,2020.0,2019,0.8715340693791708
presence,66.368746,29.29534,2020.0,2019,0.9439070224761963
presence,60.941964,25.76445,2020.0,2019,0.03495634129891793
presence,65.442985,29.596713,2020.0,2019,0.8824190100034078
presence,62.656283,29.6814,2020.0,2019,0.8702293435732523
presence,67.004321,27.226094,2020.0,2019,0.91324915488561
presence,62.705957,29.745996,2020.0,2019,0.07354122425507133
presence,61.292289,22.152113,2019.0,2019,0.8376399079958597
presence,61.2597,27.711698,2019.0,2019,0.0760895274579525
presence,61.259655,27.711807,2019.0,2019,0.051863464837272964
presence,60.642223,22.826288,2019.0,2019,0.24211853742599487
presence,60.483669,22.105114,2019.0,2019,0.8002575834592184
presence,69.149748,27.216612,2018.0,2017,0.9070621530214945
presence,69.155197,27.225507,2018.0,2017,0.8685224056243896
presence,69.002476,26.996377,2018.0,2017,0.734968344370524
presence,69.145936,27.215646,2018.0,2017,0.8706692258516947
presence,66.501114,25.763024,2018.0,2017,0.2180654009183248
presence,69.146893,27.21057,2018.0,2017,0.9616787234942118
presence,62.699458,29.728109,2018.0,2017,0.7832130193710327
presence,66.473085,25.695183,2018.0,2017,0.0757315568625927
presence,65.009696,27.459829,2018.0,2017,0.9257388512293497
presence,62.080845,27.385235,2018.0,2017,0.2345282038052877
presence,69.14708,27.211058,2018.0,2017,0.9682951172192892
presence,61.690905,25.018425,2017.0,2017,0.16422064478198686
presence,64.373649,27.123216,2017.0,2017,0.9252647558848063
presence,62.450383,28.76725,2017.0,2017,0.19468489723900953
presence,66.501479,25.760519,2017.0,2017,0.720132311185201
presence,66.369252,29.306209,2016.0,2015,0.9329735438028971
presence,66.261681,29.436613,2016.0,2015,0.30232450862725574
presence,66.4996,25.760908,2016.0,2015,0.7836896578470866
presence,62.613711,29.723008,2016.0,2015,0.784906248251597
presence,67.860164,23.536187,2016.0,2015,0.41408565640449524
presence,67.980908,23.733431,2016.0,2015,0.2811780273914337
presence,61.293814,26.427868,2016.0,2015,0.6483349800109863
presence,68.420276,26.860277,2016.0,2015,0.8884265422821045
presence,66.850011,24.745657,2014.0,2013,0.9173076748847961
presence,68.642171,27.78895,2014.0,2013,0.5761588017145792
presence,65.420935,29.718292,2014.0,2013,0.6295664509137472
presence,65.424298,29.703999,2014.0,2013,0.9587242205937704
presence,65.444679,29.642052,2014.0,2013,0.8803585171699524
presence,65.421569,29.706456,2014.0,2013,0.9492433865865072
presence,65.407548,29.673999,2014.0,2013,0.972680946191152
presence,65.410597,29.674676,2014.0,2013,0.9498952825864156
presence,65.421064,29.699051,2014.0,2013,0.9159428874651591
presence,64.792604,29.056074,2014.0,2013,0.9419646064440409
presence,64.79671,29.048982,2014.0,2013,0.9423864881197611
presence,65.44622,29.662753,2014.0,2013,0.7351964910825094
presence,65.44366,29.705307,2014.0,2013,0.8622661034266154
presence,65.442253,29.695624,2014.0,2013,0.9721342325210571
presence,65.441593,29.654213,2014.0,2013,0.7772095203399658
presence,65.44116,29.698489,2014.0,2013,0.9600651661554972
presence,65.442009,29.688133,2014.0,2013,0.8512589335441589
presence,65.466755,29.503307,2013.0,2013,0.96901535987854
presence,66.501639,25.765452,2013.0,2013,0.8779881596565247
presence,65.151344,25.237419,2013.0,2013,0.9569222927093506
presence,62.844903,27.688415,2011.0,2011,0.37412750720977783
presence,67.177454,26.183718,2010.0,2009,0.6773309111595154
presence,66.754698,25.341036,2010.0,2009,0.91145920753479
presence,68.882898,27.107584,2009.0,2009,0.5368451227744421
presence,68.879753,27.121256,2009.0,2009,0.48866961648066837
presence,62.796779,29.564382,2007.0,2009,0.8140790859858195
presence,68.528396,27.192682,2007.0,2009,0.702949066956838
presence,68.535614,27.178296,2007.0,2009,0.9428664843241373
presence,68.62204,26.078142,2007.0,2009,0.6410835186640421
presence,68.728416,26.268311,2007.0,2009,0.18812255064646402
presence,66.373564,29.287597,2007.0,2009,0.4703047772248586
presence,66.759354,28.551246,2005.0,2009,0.6016938289006551
presence,60.332285,24.670373,2005.0,2009,0.7584970394770304
presence,60.857805,25.790527,2004.0,2009,0.3585135837395986
presence,60.365797,25.864293,2004.0,2009,0.7450087269147238
presence,59.947236,23.856027,2004.0,2009,0.4445735464493434
presence,65.220263,25.874172,2003.0,2009,0.8890251715977987
presence,66.932491,24.081438,2001.0,2009,0.8069767554601034
presence,66.088022,27.671373,2001.0,2009,0.7098584771156311
presence,66.088022,27.671373,2001.0,2009,0.7098584771156311
presence,63.812495,28.248201,2001.0,2009,0.28557654718557995
presence,60.206154,23.523527,2000.0,2009,0.023502346749107044
presence,63.268237,27.464655,2000.0,2009,0.7281138896942139
presence,61.39143,27.792106,1998.0,2009,0.7618782718976339
presence,62.560261,28.581363,1998.0,2009,0.18752672026554743
presence,62.4212,25.0709,1998.0,2009,0.7106918493906657
presence,64.954701,26.541391,1998.0,2009,0.8743239641189575
presence,67.6851,24.837,1997.0,2009,0.5909525652726492
presence,67.685142,24.837002,1997.0,2009,0.6160443127155304
presence,65.574926,28.588723,1997.0,2009,0.9489317337671915
presence,65.207567,25.916375,1997.0,2009,0.9645490050315857
presence,65.574926,28.588723,1997.0,2009,0.9582449396451315
presence,60.30277,24.527718,1996.0,2009,0.7626715699831644
presence,62.472173,29.273829,1994.0,2009,0.11777554452419281
presence,67.133634,27.560806,1994.0,2009,0.17792478203773499
presence,67.142601,27.561014,1994.0,2009,0.6331138412157694
presence,61.247166,27.900242,1994.0,2009,0.9604862928390503
presence,68.882927,26.958416,1993.0,2009,0.7097177505493164
presence,60.332601,24.688461,1993.0,2009,0.5466537872950236
presence,62.285177,28.277888,1993.0,2009,0.16374234358469644
presence,66.380821,26.582527,1992.0,2009,0.9019180337587992
presence,60.492032,22.236898,1992.0,2009,0.8070028026898702
presence,61.272704,22.193549,1992.0,2009,0.8533618450164795
presence,66.373234,29.30993,1991.0,2009,0.7897700270016988
presence,68.913025,28.402386,1990.0,2009,0.729933480421702
presence,60.115964,22.813775,1990.0,2009,0.7779266834259033
presence,60.96447,22.647062,1990.0,2009,0.9778703848520914
presence,60.30277,24.527718,1989.0,2009,0.48701833685239154
presence,63.539996,30.124084,1988.0,2009,0.933697779973348
presence,67.509438,23.790268,1988.0,2009,0.9548439780871073
presence,67.596911,23.833676,1988.0,2009,0.6379990776379904
presence,64.684437,26.252648,1988.0,2009,0.7646331687768301
presence,64.836815,25.194799,1988.0,2009,0.9395604530970255
presence,64.51374,27.798004,1988.0,2009,0.33358535170555115
presence,67.376677,26.8912,1988.0,2009,0.7931090394655863
presence,67.417278,28.173986,1988.0,2009,0.7612490057945251
presence,67.466287,27.171275,1988.0,2009,0.7447747588157654
presence,66.342887,29.530516,1988.0,2009,0.1899807279308637
presence,62.703535,29.761704,1988.0,2009,0.6377451022466024
presence,67.869617,26.72246,1988.0,2009,0.2664083515604337
presence,68.72096,27.452342,1988.0,2009,0.8185364007949829
presence,68.344715,27.323494,1988.0,2009,0.7148829301198324
presence,69.062152,27.158591,1988.0,2009,0.40457432468732196
presence,68.851078,28.299145,1988.0,2009,0.9470524390538534
presence,69.300784,28.097971,1988.0,2009,0.8628525535265604
presence,68.829007,26.78491,1988.0,2009,0.9338328838348389
presence,60.210756,22.25344,1988.0,2009,0.7847281893094381
presence,60.42729,24.990499,1988.0,2009,0.684230625629425
presence,60.457309,25.206776,1988.0,2009,0.5367496411005656
presence,61.201312,25.127407,1988.0,2009,0.8361615935961405
presence,63.028724,28.409105,1988.0,2009,0.5840805172920227
presence,63.893998,23.646202,1986.0,2009,0.6583982706069946
presence,66.373234,29.30993,1984.0,2009,0.4502224524815877
presence,63.79692,23.007674,1981.0,2009,0.9401852687199911
presence,64.439964,25.034029,1981.0,2009,0.570309559504191
presence,66.373234,29.30993,1981.0,2009,0.5939475297927856
presence,65.403541,27.308382,1981.0,2009,0.9127824306488037
presence,66.373234,29.30993,1981.0,2009,0.7974923253059387
presence,66.291565,27.207815,1981.0,2009,0.7194795409838358
presence,66.373564,29.287597,1979.0,2009,0.8552288015683492
presence,66.373234,29.30993,1979.0,2009,0.765390932559967
presence,66.363941,29.33143,1979.0,2009,0.9347113966941833
presence,66.372901,29.332263,1977.0,2009,0.41647935907046
presence,64.806408,25.723087,1974.0,2009,0.9777777194976807
presence,64.806408,25.723087,1974.0,2009,0.9462557037671407
presence,64.806408,25.723087,1974.0,2009,0.9519211252530416
presence,65.573512,28.71865,1974.0,2009,0.5835538705190023
presence,66.373234,29.30993,1974.0,2009,0.3206964333852132
presence,64.736903,26.02028,1974.0,2009,0.8391222159067789
presence,66.373234,29.30993,1974.0,2009,0.4159906009833018
presence,64.806408,25.723087,1974.0,2009,0.9655870596567789
presence,60.747171,27.336106,1972.0,2009,0.06028739747622088
presence,60.747171,27.336106,1972.0,2009,0.6711063782374064
presence,69.761433,27.008472,1970.0,2009,0.22249406146114659
presence,65.136826,25.558059,1970.0,2009,0.1582216223080953
presence,65.136826,25.558059,1970.0,2009,0.9379458427429199
presence,65.043558,24.586067,1970.0,2009,0.978708287080129
presence,64.604698,26.484628,1970.0,2009,0.9885413845380148
presence,59.917424,23.393656,1970.0,2009,0.7675002217292786
presence,60.738196,27.336012,1970.0,2009,0.6183956066767374
presence,60.738196,27.336012,1970.0,2009,0.6161425312360128
presence,65.220102,25.852802,1967.0,2009,0.9459324479103088
presence,65.211912,25.960004,1967.0,2009,0.725396990776062
presence,64.983987,25.523922,1967.0,2009,0.5263891220092773
presence,64.928422,25.357813,1967.0,2009,0.9045784870783488
presence,65.145792,25.557573,1966.0,2009,0.6400422553221384
presence,66.363941,29.33143,1966.0,2009,0.8855908314387003
presence,69.761433,26.982581,1961.0,2009,0.6630314985911051
presence,60.355805,25.013023,1945.0,2009,0.8607901136080424
presence,60.266776,25.831589,1942.0,2009,0.9730839927991232
presence,60.816478,23.771034,1866.0,2009,0.7191049059232076
presence,60.341381,20.770554,1992.0,2009,0.27325176695982617
presence,66.545413,25.589418,1996.0,2009,0.8465625246365865
presence,61.4743,21.35046,2024.0,2023,0.7564971248308817
presence,69.19555,27.88085,2025.0,2023,0.98348069190979
presence,61.84369,22.93122,2026.0,2023,0.002801240189000964
presence,62.66301,29.69654,2020.0,2019,0.915120800336202
presence,67.615734,27.774916,2016.0,2015,0.29907047748565674
presence,64.137991,28.300886,2020.0,2019,0.8222475051879883
presence,64.625395,29.697382,2026.0,2023,0.47877757747968036
presence,65.514512,29.343227,2026.0,2023,0.9392926295598348
presence,61.071513,22.048989,2026.0,2023,0.6979287266731262
presence,65.1654,25.4609,2026.0,2023,0.838198721408844
bg_random,63.48983263624647,29.91164209540069,,2023,0.22773394671579203
bg_random,62.80540041624251,21.94870887367393,,2023,0.10090211753655846
bg_random,61.92987906750525,26.579864608444318,,2023,0.26826734840869904
bg_random,61.27320656260212,23.482705530834856,,2023,0.06535035992662112
bg_random,67.72326547088565,24.870847857556,,2023,0.07485905704864611
bg_random,60.8872532466394,25.31799514622443,,2023,0.07219122891001462
bg_random,65.16242078929848,29.114577863853143,,2023,0.3207533011833827
bg_random,66.50558542042172,28.13927947754089,,2023,0.4297785560290019
bg_random,62.47857529335147,30.55409551308296,,2023,0.287611444791158
bg_random,65.06411555564146,28.28619560659713,,2023,0.05565543286502361
bg_random,64.71019918476573,29.94340707518666,,2023,0.6199806133906046
bg_random,61.719239098249744,24.029685916460217,,2023,0.057052373265226684
bg_random,63.517603518216255,23.93844224801004,,2023,0.00522190456589063
bg_random,66.51484822325894,27.57477960358156,,2023,0.14382159958283106
bg_random,67.84141041652308,27.16136571897805,,2023,0.11236043677975734
bg_random,61.15017719277395,23.39733964550993,,2023,0.010818754322826862
bg_random,65.42032107576973,27.66756133846534,,2023,0.14802507559458414
bg_random,65.19269398741916,27.92567883626823,,2023,0.09459166725476582
bg_random,61.54953767022853,23.89649514408934,,2023,0.05990305791298548
bg_random,60.37007133192999,22.768241757671586,,2023,0.743105928103129
bg_random,61.42565730411731,26.559072982831317,,2023,0.012178765299419561
bg_random,63.43898380753057,30.250566233783605,,2023,0.4501933654149373
bg_random,67.29534031484111,28.68419901931363,,2023,0.1283800626794497
bg_random,64.8568530764924,24.870295850640623,,2023,0.08060935884714127
bg_random,64.95351664263987,27.682333840133044,,2023,0.06164987509449323
bg_random,63.562833166206815,23.772712770820632,,2023,0.09474312389890353
bg_random,64.48221665875673,27.330369980833257,,2023,0.10687761891555662
bg_random,60.71468233983184,21.531738215107964,,2023,0.24729743103186289
bg_random,61.15701359164808,24.706787865961992,,2023,0.08005433529615402
bg_random,63.36273590066301,26.160848673936364,,2023,0.1351507152285194
bg_random,65.11329284989588,25.73903183278764,,2023,0.001172514525630201
bg_random,67.51521744759538,29.46270006416196,,2023,0.1328514963388443
bg_random,62.43676899081982,25.3481412971754,,2023,0.1686321667705973
bg_random,64.74182303677273,29.1283769481726,,2023,0.040721021282176174
bg_random,63.61476497239015,23.92540142936353,,2023,0.021253261404732864
bg_random,62.85438519119489,24.4939884324339,,2023,0.04127141212423643
bg_random,63.79518204683921,25.454925686860232,,2023,0.05286275641992688
bg_random,63.07947630483356,22.54447574988422,,2023,0.12032280365626018
bg_random,67.70558499347247,24.041540170704305,,2023,0.17637500166893005
bg_random,66.07001868877975,29.366227722306267,,2023,0.07250206917524338
bg_random,61.48944649085479,25.176489819432632,,2023,0.0388844806390504
bg_random,64.04181565505755,27.78840069217633,,2023,0.01222851414543887
bg_random,63.881697983221216,28.539725759124025,,2023,0.13027473461503783
bg_random,63.72711171615423,28.049832142264226,,2023,0.03614014076689879
bg_random,65.39059790963927,29.528439041225955,,2023,0.30558060606320697
bg_random,63.28255783975359,21.63880807094232,,2023,0.1430468192944924
bg_random,64.32560849354483,29.17432731186538,,2023,0.749878982702891
bg_random,62.90620942723774,31.48908158904809,,2023,0.1455092951655388
bg_random,68.51837016530999,28.08158217797974,,2023,0.6560081044832865
bg_random,64.17992021473125,28.62540680260989,,2023,0.6954752604166666
bg_random,66.3203372485004,29.27117140481588,,2023,0.09654460102319717
bg_random,67.84153916243962,28.032291097076623,,2023,0.45687637726465863
bg_random,63.01513668934005,25.154922549517007,,2023,0.07110772107262164
bg_random,64.87021014531243,26.92487126997884,,2023,0.28838102022806805
bg_random,60.87226050362844,24.68598021608731,,2023,0.0005954810427889848
bg_random,63.10508714010544,24.46003940540431,,2023,0.018739252506444853
bg_random,60.08027983397899,22.88956897237364,,2023,0.4455100695292155
bg_random,60.57633303485866,27.502296160737146,,2023,0.15351911137501398
bg_random,67.14947629420499,26.441917495071664,,2023,0.028954445694883663
bg_random,68.2060394168142,26.190766396156764,,2023,0.30285120258728665
bg_random,63.32983017387896,24.87399958416674,,2023,0.03866094226638476
bg_random,66.13590597391726,25.418291072862168,,2023,0.22861712674299875
bg_random,67.85045027266341,25.005343224017064,,2023,0.7875563104947408
bg_random,62.58815423537354,26.98551537349353,,2023,0.0058404273974398775
bg_random,60.8680331200515,26.34876902577477,,2023,0.1720451811949412
bg_random,65.15995956687414,29.42003356002349,,2023,0.3243064731359482
bg_random,62.08083401440029,26.86998079820399,,2023,0.05234328036506971
bg_random,65.3999717746841,27.55164782781679,,2023,0.12215041865905125
bg_random,62.18322916151728,25.89836182235605,,2023,0.014956024630616108
bg_random,60.50587433365372,23.872694518979547,,2023,0.2729647035400073
bg_random,68.96006977894581,28.598885539343584,,2023,0.4396745065848033
bg_random,63.1749305152233,26.972511988321752,,2023,0.0016361325106117874
bg_random,62.356659504131336,22.33265589769527,,2023,0.030065287835896015
bg_random,64.57838060189405,28.744353733845,,2023,0.10496286271760862
bg_random,65.52613260230498,29.201140584916608,,2023,0.29429517686367035
bg_random,62.83800733838199,22.30795803143193,,2023,0.03960226848721504
bg_random,66.35751175199597,28.44188118678609,,2023,0.08147057890892029
bg_random,60.58040845302179,26.16389244191623,,2023,0.051385339501090734
bg_random,61.78205980145871,28.356327503896985,,2023,0.09587456285953522
bg_random,60.51038421112753,25.263256863771733,,2023,0.17278612901767096
bg_random,65.76058506870223,27.360608515034237,,2023,0.30642429008730687
bg_random,66.86368118404972,28.14860682285595,,2023,0.04068765603005886
bg_random,62.14538519649782,29.623161175230983,,2023,0.1753169745206833
bg_random,68.6664844406163,25.96487159696959,,2023,0.5504173239072164
bg_random,61.71894404334457,29.80005418895576,,2023,0.03419322901135047
bg_random,64.69840180258967,25.97244598670848,,2023,0.048856775586803756
bg_random,62.42289875874501,30.059116575327863,,2023,0.007307838321859587
bg_random,67.67337054732491,28.44165299499896,,2023,0.5963053901990255
bg_random,67.71064414541273,29.11704067468526,,2023,0.4899801015853882
bg_random,60.49042917226553,24.526814508747886,,2023,0.6155282656351725
bg_random,66.52300150010544,26.03882137428722,,2023,0.7786563038825989
bg_random,68.61216480322946,22.93419241056067,,2023,0.12271656344334285
bg_random,67.24821913315023,26.58199322115371,,2023,0.10119259854157765
bg_random,67.95644571079907,24.225614347446214,,2023,0.15095444520314535
bg_random,68.41073728668813,23.60998053043937,,2023,0.05230753496289253
bg_random,64.59778161643275,29.308407922052684,,2023,0.08513700465361278
bg_random,60.64889205872887,25.70678843287843,,2023,0.2503799597422282
bg_random,61.97067467374622,23.61396619772443,,2023,0.5066471298535665
bg_random,62.26554605912334,25.14422236015051,,2023,0.38202726328745484
bg_random,63.99005541683219,30.449341814166083,,2023,0.15177754910352328
bg_random,63.98105499082427,28.45886876800577,,2023,0.08658106004198392
bg_random,65.61286502170428,27.00746632639709,,2023,0.39349690079689026
bg_random,60.77242771119478,22.472815274442823,,2023,0.28221703072388965
bg_random,66.15862258669327,28.283669653630447,,2023,0.08831421161691348
bg_random,67.47291080547659,29.7017436153174,,2023,0.4991576075553894
bg_random,65.57530581661388,26.17380110339876,,2023,0.1477591342603167
bg_random,68.38588602949011,25.174128312168545,,2023,0.33385009070237476
bg_random,61.80235103608664,25.019824235958737,,2023,0.03319374347726504
bg_random,62.89824806268064,23.486212800597222,,2023,0.01518433727324009
bg_random,62.97462216265863,26.101297373300227,,2023,0.12735071361142522
bg_random,62.49464487559521,30.894578890053708,,2023,0.2845254937807719
bg_random,63.407537862783286,22.715628192475364,,2023,0.11648933465282123
bg_random,66.60264281398791,26.374080591443345,,2023,0.10583829507231712
bg_random,63.548976528917656,30.165459829010917,,2023,0.14286009905238947
bg_random,67.97012024985551,27.833109476757706,,2023,0.24806309739748636
bg_random,65.16030638555608,27.485220770064814,,2023,0.06395170498096074
bg_random,67.84673153985294,29.57069756444399,,2023,0.02104882321630915
bg_random,60.43910766296311,24.921595627943468,,2023,0.15388557314872742
bg_random,63.84500351544788,25.263787990701346,,2023,0.046193197520627415
bg_random,65.03728243429778,29.524494038175924,,2023,0.005520035823186238
bg_random,66.87679432390102,26.30391512215375,,2023,0.572588582833608
bg_random,68.79059084503193,26.08394568668024,,2023,0.10061978874728084
bg_random,63.476677973661374,28.78739410282858,,2023,0.09820830511550109
bg_random,62.34867450868418,28.771578682108547,,2023,0.14430217208185545
bg_random,62.87979435800548,22.086282719191647,,2023,0.02279947077234586
bg_random,62.64353571761304,22.03889568763168,,2023,0.1816173599412044
bg_random,62.39407726838354,24.7158421968042,,2023,0.08936885992685954
bg_random,61.22098807671691,24.691403502592884,,2023,0.26978249351183575
bg_random,60.40859479500188,24.98397435292968,,2023,0.11400513102610906
bg_random,62.78394254473499,28.4727397117818,,2023,0.061960214438537754
bg_random,61.49976707513265,26.37347648020488,,2023,0.10694336941620956
bg_random,66.97062194976019,25.41672115702213,,2023,0.004626749083399773
bg_random,65.52951367744969,26.834361407500506,,2023,0.019920228359599907
bg_random,67.36665807835529,29.167422063143277,,2023,0.21366547793149948
bg_random,67.42614825627788,24.43400871618515,,2023,0.026890107585738104
bg_random,64.11816172425809,25.00457583808616,,2023,0.09369347906128193
bg_random,62.9565784480986,25.686096008871043,,2023,0.012144589175780615
bg_random,60.03278054208139,20.08116472715778,,2023,0.5998315314451853
bg_random,63.32780376119151,28.079350275520238,,2023,0.010801636148244143
bg_random,63.16997600263431,27.76970547818601,,2023,0.05170451228817304
bg_random,67.58955347521923,29.760614890986872,,2023,0.05087175965309143
bg_random,62.06577864199978,24.94603885249093,,2023,0.2488921880722046
bg_random,64.01681048634211,30.30650747620173,,2023,0.10913732275366783
bg_random,61.56230108124209,21.92793079308102,,2023,0.18134489469230175
bg_random,65.17499748552747,27.074624431682743,,2023,0.17666642119487128
bg_random,61.06266997635385,23.656817700599337,,2023,0.18891672044992447
